elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
964.9,44,30,32.32,15,14314,Not Active,Not Active,Not Active
974.9,44,30,32.66,13,14313,Not Active,Not Active,Not Active
985.0,44,30,32.22,13,14313,Not Active,Not Active,Not Active
995.0,54,12,156.16,3,11681,Not Active,Not Active,Not Active
1005.1,46,28,41.44,10,11649,Not Active,Not Active,Not Active
1015.1,51,11,172.23,57,14265,Not Active,Not Active,Not Active
1025.2,57,24,82.89,38,11552,Not Active,Not Active,Not Active
1035.2,48,26,41.78,12,14188,Not Active,Not Active,Not Active
1045.3,47,27,33.31,13,14189,Not Active,Not Active,Not Active
1055.3,46,28,33.06,13,14188,Not Active,Not Active,Not Active
1065.3,46,28,33.08,15,14190,Not Active,Not Active,Not Active
1075.4,45,29,32.72,14,14190,Not Active,Not Active,Not Active
1085.4,45,29,32.34,15,14192,Not Active,Not Active,Not Active
1095.5,44,30,32.30,15,14189,Not Active,Not Active,Not Active
1105.5,44,30,31.69,13,14189,Not Active,Not Active,Not Active
1115.6,44,30,31.37,13,14189,Not Active,Not Active,Not Active
1125.6,51,24,269.86,3,14197,Not Active,Not Active,Not Active
1135.7,48,26,128.28,3,11637,Not Active,Not Active,Not Active
1145.7,47,27,42.03,9,11701,Not Active,Not Active,Not Active
1155.8,50,25,86.11,3,11679,Not Active,Not Active,Not Active
1165.8,52,23,219.25,3,14375,Not Active,Not Active,Not Active
1175.9,47,27,33.93,16,11573,Not Active,Not Active,Not Active
1185.9,46,28,33.31,13,11573,Not Active,Not Active,Not Active
1195.9,46,28,32.90,15,11573,Not Active,Not Active,Not Active
1206.0,45,29,33.13,15,11573,Not Active,Not Active,Not Active
1216.1,45,29,33.26,13,11573,Not Active,Not Active,Not Active
1226.1,45,29,32.78,13,11573,Not Active,Not Active,Not Active
1236.2,44,30,32.65,15,11587,Not Active,Not Active,Not Active
1246.2,44,30,32.26,15,11582,Not Active,Not Active,Not Active
1256.3,44,30,32.06,15,11573,Not Active,Not Active,Not Active
1266.3,52,24,189.92,3,14231,Not Active,Not Active,Not Active
1276.4,47,28,38.88,13,11796,Not Active,Not Active,Not Active
1286.4,48,26,52.37,0,11505,Not Active,Not Active,Not Active
1296.4,52,23,86.33,0,10933,Not Active,Not Active,Not Active
1306.5,47,27,22.40,0,11497,Not Active,Not Active,Not Active
1316.6,46,28,22.43,0,11497,Not Active,Not Active,Not Active
1326.6,45,29,21.81,0,11497,Not Active,Not Active,Not Active
1336.7,44,30,21.65,0,11497,Not Active,Not Active,Not Active
1346.8,44,30,21.83,0,11497,Not Active,Not Active,Not Active
1356.8,44,31,21.64,0,11474,Not Active,Not Active,Not Active
1366.9,43,31,22.37,0,11474,Not Active,Not Active,Not Active
