elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
964.7,46,28,33.29,15,11786,Not Active,Not Active,Not Active
974.8,45,29,32.79,14,11787,Not Active,Not Active,Not Active
984.8,45,29,32.84,14,11787,Not Active,Not Active,Not Active
994.9,45,29,32.99,13,11794,Not Active,Not Active,Not Active
1004.9,44,30,32.00,13,11789,Not Active,Not Active,Not Active
1015.0,44,30,32.43,15,11789,Not Active,Not Active,Not Active
1025.0,44,30,31.89,15,11789,Not Active,Not Active,Not Active
1035.1,49,26,249.49,3,14393,Not Active,Not Active,Not Active
1045.1,57,25,64.40,99,11916,Not Active,Not Active,Not Active
1055.2,46,28,41.15,11,11725,Not Active,Not Active,Not Active
1065.2,48,27,58.48,6,11568,Not Active,Not Active,Not Active
1075.3,52,22,175.00,3,11576,Not Active,Not Active,Not Active
1085.3,47,27,32.71,13,11672,Not Active,Not Active,Not Active
1095.4,46,28,32.79,13,11672,Not Active,Not Active,Not Active
1105.4,46,28,32.65,14,11672,Not Active,Not Active,Not Active
1115.5,45,29,32.58,15,11672,Not Active,Not Active,Not Active
1125.5,45,29,32.52,13,11673,Not Active,Not Active,Not Active
1135.6,45,29,32.15,13,11671,Not Active,Not Active,Not Active
1145.6,44,30,32.49,16,11679,Not Active,Not Active,Not Active
1155.7,44,30,31.08,15,11674,Not Active,Not Active,Not Active
1165.7,44,30,32.22,13,11670,Not Active,Not Active,Not Active
1175.8,46,28,41.49,7,11472,Not Active,Not Active,Not Active
1185.8,50,24,133.89,3,11489,Not Active,Not Active,Not Active
1195.9,47,27,42.23,7,11747,Not Active,Not Active,Not Active
1205.9,52,22,191.43,3,11722,Not Active,Not Active,Not Active
1216.0,48,26,39.41,14,11197,Not Active,Not Active,Not Active
1226.0,48,26,40.12,14,14310,Not Active,Not Active,Not Active
1236.1,47,27,34.15,13,14309,Not Active,Not Active,Not Active
1246.1,46,28,32.88,13,14307,Not Active,Not Active,Not Active
1256.2,46,28,33.15,15,14307,Not Active,Not Active,Not Active
1266.2,45,29,32.78,15,14307,Not Active,Not Active,Not Active
1276.3,45,29,32.48,15,14314,Not Active,Not Active,Not Active
1286.3,44,30,32.32,15,14314,Not Active,Not Active,Not Active
1296.4,44,30,32.66,13,14313,Not Active,Not Active,Not Active
1306.4,44,30,32.22,13,14313,Not Active,Not Active,Not Active
1316.5,54,12,156.16,3,11681,Not Active,Not Active,Not Active
1326.5,46,28,41.44,10,11649,Not Active,Not Active,Not Active
1336.6,51,11,172.23,57,14265,Not Active,Not Active,Not Active
1346.6,57,24,82.89,38,11552,Not Active,Not Active,Not Active
1356.6,48,26,41.78,12,14188,Not Active,Not Active,Not Active
1366.7,47,27,33.31,13,14189,Not Active,Not Active,Not Active
1376.7,46,28,33.06,13,14188,Not Active,Not Active,Not Active
1386.8,46,28,33.08,15,14190,Not Active,Not Active,Not Active
1396.8,45,29,32.72,14,14190,Not Active,Not Active,Not Active
1406.9,45,29,32.34,15,14192,Not Active,Not Active,Not Active
1416.9,44,30,32.30,15,14189,Not Active,Not Active,Not Active
1427.0,44,30,31.69,13,14189,Not Active,Not Active,Not Active
1437.0,44,30,31.37,13,14189,Not Active,Not Active,Not Active
1447.1,51,25,269.86,3,14197,Not Active,Not Active,Not Active
1457.1,48,26,128.28,3,11637,Not Active,Not Active,Not Active
1467.2,47,27,42.03,9,11701,Not Active,Not Active,Not Active
1477.2,50,25,86.11,3,11679,Not Active,Not Active,Not Active
1487.3,52,23,219.25,3,14375,Not Active,Not Active,Not Active
1497.3,47,27,33.93,16,11573,Not Active,Not Active,Not Active
1507.3,46,28,33.31,13,11573,Not Active,Not Active,Not Active
1517.4,46,28,32.90,15,11573,Not Active,Not Active,Not Active
1527.4,45,29,33.13,15,11573,Not Active,Not Active,Not Active
1537.5,45,29,33.26,13,11573,Not Active,Not Active,Not Active
1547.5,45,29,32.78,13,11573,Not Active,Not Active,Not Active
1557.6,44,30,32.65,15,11587,Not Active,Not Active,Not Active
1567.6,44,30,32.26,15,11582,Not Active,Not Active,Not Active
1577.7,44,30,32.06,15,11573,Not Active,Not Active,Not Active
1587.7,52,24,189.92,3,14231,Not Active,Not Active,Not Active
1597.8,47,28,38.88,13,11796,Not Active,Not Active,Not Active
1607.8,48,26,52.37,0,11505,Not Active,Not Active,Not Active
1617.9,52,23,86.33,0,10933,Not Active,Not Active,Not Active
1627.9,47,27,22.40,0,11497,Not Active,Not Active,Not Active
1638.0,46,28,22.43,0,11497,Not Active,Not Active,Not Active
1648.0,45,29,21.81,0,11497,Not Active,Not Active,Not Active
1658.1,44,30,21.65,0,11497,Not Active,Not Active,Not Active
1668.2,44,30,21.83,0,11497,Not Active,Not Active,Not Active
1678.3,44,31,21.64,0,11474,Not Active,Not Active,Not Active
1688.3,43,31,22.37,0,11474,Not Active,Not Active,Not Active
1698.4,43,31,21.67,0,11474,Not Active,Not Active,Not Active
1708.4,43,31,21.56,0,11474,Not Active,Not Active,Not Active
1718.4,45,29,54.06,0,11645,Not Active,Not Active,Not Active
1728.5,49,12,83.21,0,11519,Not Active,Not Active,Not Active
1738.6,47,27,41.77,0,11547,Not Active,Not Active,Not Active
1748.6,63,19,164.87,76,11685,Not Active,Not Active,Not Active
1758.7,46,28,22.27,0,11685,Not Active,Not Active,Not Active
1768.8,45,29,21.88,0,11685,Not Active,Not Active,Not Active
1778.8,44,30,21.88,0,11685,Not Active,Not Active,Not Active
1788.9,44,30,22.03,0,11685,Not Active,Not Active,Not Active
1798.9,43,31,21.57,0,11685,Not Active,Not Active,Not Active
1808.9,43,31,21.82,1,11685,Not Active,Not Active,Not Active
1819.0,43,31,21.32,0,11685,Not Active,Not Active,Not Active
1829.0,42,32,21.37,0,11685,Not Active,Not Active,Not Active
1839.1,42,32,21.81,0,11685,Not Active,Not Active,Not Active
1849.2,44,30,39.66,0,11559,Not Active,Not Active,Not Active
1859.2,44,29,24.33,2,14245,Not Active,Not Active,Not Active
1869.3,45,29,39.85,0,11563,Not Active,Not Active,Not Active
1879.3,49,25,230.96,0,14195,Not Active,Not Active,Not Active
1889.4,53,21,76.27,29,11545,Not Active,Not Active,Not Active
1899.4,49,25,130.04,0,14187,Not Active,Not Active,Not Active
1909.5,46,28,26.20,0,11695,Not Active,Not Active,Not Active
1919.5,45,29,21.68,0,11695,Not Active,Not Active,Not Active
1929.6,44,30,22.03,0,11695,Not Active,Not Active,Not Active
1939.7,44,30,22.24,0,11695,Not Active,Not Active,Not Active
1949.8,43,31,21.90,0,11695,Not Active,Not Active,Not Active
1959.8,43,31,21.87,0,11695,Not Active,Not Active,Not Active
1969.8,42,32,21.60,0,11695,Not Active,Not Active,Not Active
1979.9,42,32,21.74,0,11695,Not Active,Not Active,Not Active
1989.9,42,32,21.96,0,11695,Not Active,Not Active,Not Active
2000.0,46,28,80.32,1,11427,Not Active,Not Active,Not Active
2010.0,64,9,234.06,100,14269,Not Active,Not Active,Not Active
2020.1,63,20,112.79,99,11623,Not Active,Not Active,Not Active
2030.1,51,23,228.40,0,14265,Not Active,Not Active,Not Active
2040.2,46,28,22.42,0,14265,Not Active,Not Active,Not Active
2050.2,45,29,22.11,0,14265,Not Active,Not Active,Not Active
2060.2,44,30,22.09,0,14265,Not Active,Not Active,Not Active
2070.3,44,30,21.74,0,14265,Not Active,Not Active,Not Active
2080.3,43,31,21.49,0,14265,Not Active,Not Active,Not Active
2090.4,43,31,21.96,0,14265,Not Active,Not Active,Not Active
2100.4,42,32,21.80,0,14265,Not Active,Not Active,Not Active
2110.5,42,32,21.65,0,14265,Not Active,Not Active,Not Active
2120.6,42,32,21.27,0,12079,Not Active,Not Active,Not Active
2130.6,56,25,130.26,22,11627,Not Active,Not Active,Not Active
2140.8,49,25,258.49,0,14307,Not Active,Not Active,Not Active
2150.8,63,24,178.82,44,11471,Not Active,Not Active,Not Active
2160.9,51,8,88.86,4,14311,Not Active,Not Active,Not Active
2170.9,46,28,23.23,0,14311,Not Active,Not Active,Not Active
2180.9,45,29,22.18,0,14311,Not Active,Not Active,Not Active
2191.0,44,30,22.10,0,14311,Not Active,Not Active,Not Active
2201.0,44,30,21.81,0,14311,Not Active,Not Active,Not Active
2211.1,43,31,22.41,0,14311,Not Active,Not Active,Not Active
2221.1,43,31,22.12,0,14311,Not Active,Not Active,Not Active
2231.2,42,32,21.88,1,14311,Not Active,Not Active,Not Active
2241.2,42,32,21.84,0,14311,Not Active,Not Active,Not Active
2251.3,42,32,21.63,0,14311,Not Active,Not Active,Not Active
2261.3,52,25,199.79,65,11655,Not Active,Not Active,Not Active
2271.4,45,29,39.91,0,11625,Not Active,Not Active,Not Active
2281.4,49,25,83.03,0,12005,Not Active,Not Active,Not Active
2291.5,51,11,83.91,0,11545,Not Active,Not Active,Not Active
2301.5,45,29,22.11,0,11545,Not Active,Not Active,Not Active
2311.6,45,29,22.47,0,11545,Not Active,Not Active,Not Active
2321.6,44,30,22.08,0,11545,Not Active,Not Active,Not Active
2331.7,43,31,22.06,0,11545,Not Active,Not Active,Not Active
2341.7,43,31,22.09,0,11545,Not Active,Not Active,Not Active
2351.7,43,31,22.07,0,11545,Not Active,Not Active,Not Active
2361.9,42,32,22.09,0,11545,Not Active,Not Active,Not Active
2371.9,42,32,21.75,0,11545,Not Active,Not Active,Not Active
2382.0,42,32,21.75,18,11139,Not Active,Not Active,Not Active
2392.0,45,29,55.35,0,11683,Not Active,Not Active,Not Active
2402.1,49,13,130.64,0,11419,Not Active,Not Active,Not Active
2412.1,51,24,188.42,0,14149,Not Active,Not Active,Not Active
2422.2,46,28,23.12,0,11621,Not Active,Not Active,Not Active
2432.2,45,29,22.68,1,11621,Not Active,Not Active,Not Active
2442.2,44,30,22.17,0,11621,Not Active,Not Active,Not Active
2452.3,44,30,22.10,0,11621,Not Active,Not Active,Not Active
2462.3,43,31,22.27,0,11621,Not Active,Not Active,Not Active
2472.4,43,31,21.92,0,11621,Not Active,Not Active,Not Active
2482.4,44,30,57.29,0,11685,Not Active,Not Active,Not Active
2492.5,42,32,21.60,0,11685,Not Active,Not Active,Not Active
2502.5,42,32,21.71,0,11685,Not Active,Not Active,Not Active
2512.6,50,25,178.00,0,11627,Not Active,Not Active,Not Active
2522.6,50,24,80.35,99,14285,Not Active,Not Active,Not Active
2532.7,55,23,178.30,82,11635,Not Active,Not Active,Not Active
2542.7,48,26,56.83,0,11753,Not Active,Not Active,Not Active
2552.8,45,29,22.05,0,11753,Not Active,Not Active,Not Active
2562.9,45,29,22.14,0,11753,Not Active,Not Active,Not Active
2573.0,44,30,21.77,0,11753,Not Active,Not Active,Not Active
2583.0,44,30,22.09,0,11753,Not Active,Not Active,Not Active
2593.0,43,31,21.79,0,11753,Not Active,Not Active,Not Active
2603.1,43,31,21.48,0,11753,Not Active,Not Active,Not Active
2613.1,42,32,22.65,0,11753,Not Active,Not Active,Not Active
2623.2,42,32,21.68,2,11753,Not Active,Not Active,Not Active
2633.2,42,32,21.99,1,11753,Not Active,Not Active,Not Active
2643.3,48,25,183.76,0,11745,Not Active,Not Active,Not Active
2653.3,45,29,39.81,0,11645,Not Active,Not Active,Not Active
2663.4,64,9,184.61,100,14299,Not Active,Not Active,Not Active
2673.4,47,27,40.28,0,11745,Not Active,Not Active,Not Active
2683.5,45,29,22.57,1,11745,Not Active,Not Active,Not Active
2693.5,44,30,21.76,0,11745,Not Active,Not Active,Not Active
