elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
965.0,40,22,21.71,0,10128,Not Active,Not Active,Not Active
975.0,47,27,156.60,0,12876,Not Active,Not Active,Not Active
985.1,48,26,153.12,0,12962,Not Active,Not Active,Not Active
995.1,46,28,48.72,0,10306,Not Active,Not Active,Not Active
1005.2,44,30,21.95,0,10306,Not Active,Not Active,Not Active
1015.2,43,31,22.09,0,10306,Not Active,Not Active,Not Active
1025.3,42,32,21.84,0,10306,Not Active,Not Active,Not Active
1035.3,42,32,22.00,0,10306,Not Active,Not Active,Not Active
1045.4,41,33,21.49,0,10306,Not Active,Not Active,Not Active
1055.4,41,33,21.75,0,10306,Not Active,Not Active,Not Active
1065.4,41,33,22.25,0,10306,Not Active,Not Active,Not Active
1075.5,40,34,21.84,0,10306,Not Active,Not Active,Not Active
1085.6,45,19,156.43,0,12990,Not Active,Not Active,Not Active
1095.7,48,27,240.76,0,12920,Not Active,Not Active,Not Active
1105.7,51,25,181.13,0,10360,Not Active,Not Active,Not Active
1115.8,45,29,27.93,0,10106,Not Active,Not Active,Not Active
1125.8,43,31,21.78,0,10106,Not Active,Not Active,Not Active
1135.9,43,31,22.08,1,10106,Not Active,Not Active,Not Active
1145.9,42,32,22.16,0,10106,Not Active,Not Active,Not Active
1156.0,42,32,21.73,0,10106,Not Active,Not Active,Not Active
1166.0,41,33,22.00,0,10106,Not Active,Not Active,Not Active
1176.1,41,33,21.36,0,10106,Not Active,Not Active,Not Active
1186.1,41,33,21.79,1,10106,Not Active,Not Active,Not Active
1196.1,40,34,21.65,0,10106,Not Active,Not Active,Not Active
1206.2,47,28,268.29,0,12920,Not Active,Not Active,Not Active
1216.2,49,26,161.29,0,11876,Not Active,Not Active,Not Active
1226.3,49,12,105.70,0,10226,Not Active,Not Active,Not Active
1236.3,44,30,21.94,0,10326,Not Active,Not Active,Not Active
1246.4,43,31,21.82,0,10326,Not Active,Not Active,Not Active
1256.4,42,31,21.79,0,10326,Not Active,Not Active,Not Active
1266.4,42,32,22.16,0,10326,Not Active,Not Active,Not Active
1276.5,41,33,22.03,0,10326,Not Active,Not Active,Not Active
1286.5,41,33,21.83,0,10326,Not Active,Not Active,Not Active
1296.6,41,33,21.58,0,10326,Not Active,Not Active,Not Active
1306.6,40,34,21.70,0,10326,Not Active,Not Active,Not Active
1316.6,40,34,23.07,0,10326,Not Active,Not Active,Not Active
1326.7,62,12,244.76,100,12914,Not Active,Not Active,Not Active
1336.7,59,23,123.90,99,10238,Not Active,Not Active,Not Active
1346.8,48,26,83.32,0,10306,Not Active,Not Active,Not Active
1356.8,44,30,21.87,0,10306,Not Active,Not Active,Not Active
