elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
3760.1,38,36,25.68,21,2335,Not Active,Not Active,Not Active
3770.1,38,36,26.11,11,2338,Not Active,Not Active,Not Active
3780.2,38,36,27.36,5,2363,Not Active,Not Active,Not Active
3790.2,38,36,26.52,15,2374,Not Active,Not Active,Not Active
3800.3,38,36,26.11,16,2339,Not Active,Not Active,Not Active
3810.3,38,36,25.97,14,2375,Not Active,Not Active,Not Active
3820.4,38,36,25.89,16,2397,Not Active,Not Active,Not Active
3830.4,38,36,25.67,17,2344,Not Active,Not Active,Not Active
3840.5,38,36,25.91,14,2357,Not Active,Not Active,Not Active
3850.5,38,36,26.49,15,2350,Not Active,Not Active,Not Active
3860.6,38,36,26.71,16,2337,Not Active,Not Active,Not Active
3870.6,38,36,27.01,12,2335,Not Active,Not Active,Not Active
3880.6,38,36,26.46,16,2335,Not Active,Not Active,Not Active
3890.7,38,36,25.42,2,2313,Not Active,Not Active,Not Active
3900.7,38,36,24.70,2,2300,Not Active,Not Active,Not Active
3910.8,38,36,25.00,21,2348,Not Active,Not Active,Not Active
3920.8,38,36,25.22,2,2347,Not Active,Not Active,Not Active
3930.9,38,36,25.21,7,2362,Not Active,Not Active,Not Active
3940.9,39,35,40.18,7,2301,Not Active,Not Active,Not Active
3951.0,39,35,27.45,24,2313,Not Active,Not Active,Not Active
3961.0,39,35,27.16,13,2307,Not Active,Not Active,Not Active
3971.1,38,36,26.61,15,2330,Not Active,Not Active,Not Active
3981.1,39,36,26.56,15,2309,Not Active,Not Active,Not Active
3991.2,38,36,26.37,17,2291,Not Active,Not Active,Not Active
4001.2,38,36,25.97,17,2289,Not Active,Not Active,Not Active
4011.3,38,36,25.43,14,2290,Not Active,Not Active,Not Active
4021.3,38,36,25.75,16,2287,Not Active,Not Active,Not Active
4031.4,38,36,26.21,15,2484,Not Active,Not Active,Not Active
4041.4,38,36,27.34,58,2472,Not Active,Not Active,Not Active
4051.5,38,36,26.17,17,2470,Not Active,Not Active,Not Active
4061.5,38,36,25.42,17,2469,Not Active,Not Active,Not Active
4071.6,38,36,26.47,17,2469,Not Active,Not Active,Not Active
4081.6,38,36,26.40,14,2469,Not Active,Not Active,Not Active
4091.7,38,36,26.95,15,2469,Not Active,Not Active,Not Active
4101.7,38,36,27.11,17,2469,Not Active,Not Active,Not Active
4111.8,38,36,26.70,17,2467,Not Active,Not Active,Not Active
4121.8,38,36,26.64,14,2469,Not Active,Not Active,Not Active
4131.9,38,36,26.91,16,2469,Not Active,Not Active,Not Active
4141.9,38,36,27.05,15,2468,Not Active,Not Active,Not Active
4152.0,38,36,27.28,14,2470,Not Active,Not Active,Not Active
4162.0,38,36,26.88,16,2469,Not Active,Not Active,Not Active
4172.0,38,36,26.59,16,2468,Not Active,Not Active,Not Active
4182.1,38,36,27.17,15,2469,Not Active,Not Active,Not Active
4192.1,38,36,26.66,17,2469,Not Active,Not Active,Not Active
4202.2,39,36,27.07,27,2499,Not Active,Not Active,Not Active
4212.3,39,35,27.19,13,2473,Not Active,Not Active,Not Active
4222.3,39,35,28.06,24,2569,Not Active,Not Active,Not Active
4232.3,39,35,27.68,16,2470,Not Active,Not Active,Not Active
